user_id,sessions,events,views,carts,purchases,revenue,first_seen,last_seen,segment
513155516,1,2,2,0,0,0.0,2019-11-01 02:38:02+00:00,2019-11-01 02:40:09+00:00,Browsers
513155877,2,6,5,0,1,458.28,2019-11-01 01:27:02+00:00,2019-11-01 01:30:28+00:00,High-value users (purchasers)
513156013,5,13,13,0,0,0.0,2019-11-01 00:11:50+00:00,2019-11-01 00:22:46+00:00,Browsers
513157217,1,8,8,0,0,0.0,2019-11-01 01:00:59+00:00,2019-11-01 01:06:37+00:00,Browsers
513157677,1,1,1,0,0,0.0,2019-11-01 01:29:10+00:00,2019-11-01 01:29:10+00:00,Browsers
513159411,1,4,4,0,0,0.0,2019-11-01 02:10:15+00:00,2019-11-01 02:13:59+00:00,Browsers
513160589,1,12,12,0,0,0.0,2019-11-01 02:20:23+00:00,2019-11-01 02:30:14+00:00,Browsers
513161211,1,1,1,0,0,0.0,2019-11-01 01:37:12+00:00,2019-11-01 01:37:12+00:00,Browsers
513162002,1,6,6,0,0,0.0,2019-11-01 01:29:22+00:00,2019-11-01 01:32:18+00:00,Browsers
513162084,1,5,5,0,0,0.0,2019-11-01 01:47:27+00:00,2019-11-01 01:49:27+00:00,Browsers
513162126,1,1,1,0,0,0.0,2019-11-01 02:40:03+00:00,2019-11-01 02:40:03+00:00,Browsers
513162149,1,1,1,0,0,0.0,2019-11-01 01:29:28+00:00,2019-11-01 01:29:28+00:00,Browsers
513162555,1,9,9,0,0,0.0,2019-11-01 01:50:15+00:00,2019-11-01 01:58:43+00:00,Browsers
513163044,1,6,6,0,0,0.0,2019-11-01 02:20:04+00:00,2019-11-01 02:24:54+00:00,Browsers
513164527,1,6,6,0,0,0.0,2019-11-01 01:29:29+00:00,2019-11-01 01:37:50+00:00,Browsers
513165994,1,5,5,0,0,0.0,2019-11-01 01:24:44+00:00,2019-11-01 01:26:16+00:00,Browsers
513166379,1,1,1,0,0,0.0,2019-11-01 02:18:01+00:00,2019-11-01 02:18:01+00:00,Browsers
513167532,1,5,5,0,0,0.0,2019-11-01 02:37:54+00:00,2019-11-01 02:39:53+00:00,Browsers
513167634,1,4,4,0,0,0.0,2019-11-01 02:11:51+00:00,2019-11-01 02:14:59+00:00,Browsers
513168130,1,17,17,0,0,0.0,2019-11-01 02:28:25+00:00,2019-11-01 02:45:32+00:00,Browsers
